Scenario,Month,Organic_Visitors,Forms_Sold,Avg_Price_Per_Form,Revenue,Fixed_Costs,Variable_Costs,Stripe_Fees,Total_Costs,Operating_Profit,Cumulative_Cash_Position,Monthly_Profit_Margin
Startup,0,0,0,0,0,0,0,0,4620,-4620,-4620,N/A
Pessimistic,1,50,0.5,44,22,700,0.6,1,702,-680,-5300,-3091%
Pessimistic,2,50,0.5,44,22,700,0.6,1,702,-680,-5980,-3091%
Pessimistic,3,51,0.5,44,22,700,0.6,1,702,-680,-6660,-3091%
Pessimistic,4,51,0.5,44,22,700,0.6,1,702,-680,-7340,-3091%
Pessimistic,5,52,0.5,44,22,700,0.6,1,702,-680,-8020,-3091%
Pessimistic,6,52,0.5,44,22,700,0.6,1,702,-680,-8700,-3091%
Pessimistic,7,53,0.5,44,22,700,0.6,1,702,-680,-9380,-3091%
Pessimistic,8,53,0.5,44,22,700,0.6,1,702,-680,-10060,-3091%
Pessimistic,9,54,0.5,44,22,700,0.6,1,702,-680,-10740,-3091%
Pessimistic,10,55,0.6,44,24,700,0.7,1,702,-678,-11418,-2825%
Pessimistic,11,55,0.6,44,24,700,0.7,1,702,-678,-12096,-2825%
Pessimistic,12,56,0.6,44,24,700,0.7,1,702,-678,-12774,-2825%
Realistic_1pct_conversion,1,100,1,44,44,700,1.2,2,703,-659,-5279,-1498%
Realistic_1pct_conversion,2,102,1,44,44,700,1.2,2,703,-659,-5938,-1498%
Realistic_1pct_conversion,3,104,1,44,44,700,1.2,2,703,-659,-6597,-1498%
Realistic_1pct_conversion,4,106,1,44,44,700,1.2,2,703,-659,-7256,-1498%
Realistic_1pct_conversion,5,108,1,44,44,700,1.2,2,703,-659,-7915,-1498%
Realistic_1pct_conversion,6,110,1,44,44,700,1.2,2,703,-659,-8574,-1498%
Realistic_1pct_conversion,7,112,1,44,44,700,1.2,2,703,-659,-9233,-1498%
Realistic_1pct_conversion,8,115,1,44,44,700,1.2,2,703,-659,-9892,-1498%
Realistic_1pct_conversion,9,117,1,44,44,700,1.2,2,703,-659,-10551,-1498%
Realistic_1pct_conversion,10,119,1,44,44,700,1.2,2,703,-659,-11210,-1498%
Realistic_1pct_conversion,11,121,1,44,44,700,1.2,2,703,-659,-11869,-1498%
Realistic_1pct_conversion,12,123,1,44,44,700,1.2,2,703,-659,-12528,-1498%
Optimistic_Aggressive,1,150,15,44,660,700,18,20,738,-78,-4698,-12%
Optimistic_Aggressive,2,155,15,44,660,700,18,20,738,-78,-4776,-12%
Optimistic_Aggressive,3,160,16,44,705,700,19,21,740,-35,-4811,-5%
Optimistic_Aggressive,4,165,16,46,740,700,19,22,741,-1,-4812,-0.1%
Optimistic_Aggressive,5,170,17,46,786,700,20,23,743,43,-4769,5.5%
Optimistic_Aggressive,6,175,18,46,828,700,21,24,745,83,10%,10%
Optimistic_Aggressive,7,180,19,48,915,700,23,27,750,165,18%,18%
Optimistic_Aggressive,8,185,20,48,962,700,24,28,752,210,22%,22%
Optimistic_Aggressive,9,191,21,49,1028,700,25,30,755,273,27%,27%
Optimistic_Aggressive,10,197,22,50,1095,700,26,32,758,337,31%,31%
Optimistic_Aggressive,11,203,23,50,1166,700,28,34,762,404,35%,35%
Optimistic_Aggressive,12,209,24,51,1240,700,29,36,765,475,38%,38%
Optimistic_Aggressive,13,215,26,52,1352,700,31,39,770,582,43%,43%
Optimistic_Aggressive,14,221,27,52,1404,700,32,41,773,631,45%,45%
Optimistic_Aggressive,15,228,28,53,1484,700,34,43,777,707,48%,48%
Optimistic_Aggressive,16,235,29,53,1537,700,35,44,779,758,49%,49%
Optimistic_Aggressive,17,242,31,54,1651,700,37,48,785,866,52%,52%
Optimistic_Aggressive,18,249,32,54,1728,700,38,50,788,940,54%,54%
Optimistic_Aggressive,19,256,33,55,1815,700,40,53,793,1022,56%,56%
Optimistic_Aggressive,20,264,34,55,1904,700,41,55,796,1108,58%,58%
Optimistic_Aggressive,21,272,35,56,1997,700,42,58,800,1197,60%,60%
Optimistic_Aggressive,22,280,37,56,2093,700,44,61,805,1288,62%,62%
Optimistic_Aggressive,23,289,38,57,2192,700,46,64,810,1382,63%,63%
Optimistic_Aggressive,24,297,40,57,2295,700,48,66,814,1481,65%,65%
