Month,Organic Visitors,Forms Processed,Avg Price per Form,Gross Revenue,API Costs,Hosting Costs,Stripe Fees,Total COGS,Net Profit,Profit Margin %
1,100,100,$44.00,$4400.00,$50.00,$510.00,$157.20,$717.20,$3682.80,83.7%
2,102,102,$44.00,$4488.00,$51.00,$510.00,$160.15,$721.15,$3766.85,83.9%
3,104,104,$44.00,$4576.00,$52.00,$510.00,$163.10,$725.10,$3850.90,84.1%
4,106,106,$44.00,$4664.00,$53.00,$510.00,$166.06,$729.06,$3934.94,84.3%
5,108,108,$44.00,$4752.00,$54.00,$510.00,$169.02,$733.02,$4018.98,84.6%
6,110,110,$44.00,$4840.00,$55.00,$510.00,$171.98,$736.98,$4103.02,84.8%
7,112,112,$44.00,$4928.00,$56.00,$510.00,$174.95,$740.95,$4187.05,85.0%
8,114,114,$44.00,$5016.00,$57.00,$510.00,$177.92,$747.92,$4268.08,85.1%
9,116,116,$44.00,$5104.00,$58.00,$510.00,$180.90,$748.90,$4355.10,85.3%
10,118,118,$44.00,$5192.00,$59.00,$510.00,$183.88,$752.88,$4439.12,85.5%
11,121,121,$44.00,$5324.00,$61.00,$511.00,$190.41,$762.41,$4561.59,85.7%
12,123,123,$44.00,$5412.00,$62.00,$512.00,$193.45,$767.45,$4644.55,85.8%
13,125,125,$44.00,$5500.00,$63.00,$512.00,$196.50,$771.50,$4728.50,85.9%
14,128,128,$44.00,$5632.00,$64.00,$513.00,$201.62,$778.62,$4853.38,86.1%
15,130,130,$44.00,$5720.00,$65.00,$513.00,$204.68,$782.68,$4937.32,86.3%
16,133,133,$44.00,$5852.00,$67.00,$514.00,$209.81,$790.81,$5061.19,86.5%
17,135,135,$44.00,$5940.00,$68.00,$514.00,$212.89,$794.89,$5145.11,86.6%
18,138,138,$44.00,$6072.00,$69.00,$514.00,$218.06,$801.06,$5270.94,86.8%
19,141,141,$44.00,$6204.00,$71.00,$515.00,$223.26,$809.26,$5394.74,87.0%
20,143,143,$44.00,$6292.00,$72.00,$515.00,$226.36,$813.36,$5478.64,87.1%
21,146,146,$44.00,$6424.00,$73.00,$515.00,$231.58,$819.58,$5604.42,87.3%
22,149,149,$44.00,$6556.00,$75.00,$515.00,$236.82,$826.82,$5729.18,87.4%
23,152,152,$44.00,$6688.00,$76.00,$516.00,$242.08,$834.08,$5853.92,87.6%
24,155,155,$44.00,$6820.00,$78.00,$516.00,$247.36,$841.36,$5978.64,87.7%
YEAR 1 TOTAL,1372,1372,$44.00,$60368.00,$686.00,$6122.00,$2107.81,$8915.81,$51452.19,85.2%
YEAR 2 TOTAL,1677,1677,$44.00,$73752.00,$839.00,$6175.00,$2652.54,$9666.54,$64085.46,86.9%
24-MONTH TOTAL,3049,3049,$44.00,$134120.00,$1525.00,$12297.00,$4760.35,$18582.35,$115537.65,86.1%
